name,ring,quadrant,isNew,description,
Java,Adopt,Languages & Frameworks,FALSE,<p>A widely-used object-oriented programming language for building versatile applications and software systems</p>,
TestNG,Adopt,Languages & Frameworks,FALSE,<p>A testing framework designed for Java applications providing support for a wide range of testing needs.</p>,
RestAssured,Adopt,Languages & Frameworks,FALSE,<p>A Java library that simplifies testing and validation of RESTful APIs with various built-in assertions.</p>,
Selenide,Adopt,Languages & Frameworks,FALSE,<p>A concise and powerful wrapper around Selenium WebDriver for easy browser automation and testing.</p>,
AssertJ,Adopt,Languages & Frameworks,FALSE,<p>A library of fluent assertions for Java providing a rich set of assertions to make test code more readable.</p>,
Spring,Adopt,Languages & Frameworks,FALSE,<p>A comprehensive Java framework that simplifies the development of enterprise applications by providing built-in support for common patterns and infrastructure.</p>,
Spring Boot,Adopt,Languages & Frameworks,FALSE,<p>A Spring-based framework that simplifies the setup and configuration of Spring applications, enabling rapid development and deployment.</p>,
Lombok,Adopt,Languages & Frameworks,FALSE,<p> A Java library that reduces boilerplate code by providing concise annotations to generate getters, setters, and more.</p>,
Mockito,Adopt,Languages & Frameworks,FALSE,<p>A popular Java mocking library that simplifies the creation of test doubles for unit testing and isolating dependencies.</p>,
Swagger,Adopt,Tools,FALSE,<p>A suite of tools for designing and building; documenting and consuming RESTful APIs with support for OpenAPI specification.</p>,
Allure TestOps,Adopt,Platforms,FALSE,<p>A test management and analytics platform that helps teams visualize and analyze test results.</p>,
Wiremock,Adopt,Tools,FALSE,<p>A HTTP mocking and service virtualization library for testing API integrations.</p>,
Unleash,Adopt,Platforms,FALSE,<p> A feature toggle system that allows for gradual rollouts and A/B testing  and easy management of application features</p>,
Git/GitLab,Adopt,Platforms,FALSE,<p>Version control system (Git) and web-based repository management platform (GitLab) used for collaborative software development.</p>,
MySQL,Adopt,Platforms,FALSE,<p>A popular open-source relational database management system that supports SQL queries and transactions.</p>,
Kotlin,Adopt,Languages & Frameworks,FALSE,<p>A modern statically-typed programming language that runs on the Java Virtual Machine (JVM) and can be used for Android development.</p>,
Kaspresso,Adopt,Languages & Frameworks,FALSE,<p>A Kotlin-based Android testing framework that simplifies the creation of UI tests for Android applications.</p>,
Kakao,Adopt,Languages & Frameworks,FALSE,<p>A DSL wrapper around Espresso a UI testing framework for Android designed to make tests more readable and maintainable.</p>,
Retrofit,Adopt,Languages & Frameworks,FALSE,<p>A type-safe HTTP client for Android and Java that simplifies API communication by converting JSON data into Java objects.</p>,
Marathon,Adopt,Tools,FALSE,<p>A plugin-based continuous integration and testing tool for Android applications.</p>,
Android Studio,Adopt,Tools,FALSE,<p>The official integrated development environment (IDE) for Android app development, powered by IntelliJ IDEA.</p>,
Xcode,Adopt,Tools,FALSE,<p>Apple's official IDE for macOS iOS watchOS and tvOS app development.</p>,
XCTest,Adopt,Languages & Frameworks,FALSE,<p>Apple's testing framework for Swift and Objective-C applications on iOS macOS watchOS and tvOS.</p>,
Swift,Adopt,Languages & Frameworks,FALSE,"<p>A powerful, easy-to-learn programming language developed by Apple for iOS macOS watchOS and tvOS app development.
</p>",
Alamofire,Adopt,Languages & Frameworks,FALSE,<p>A Swift-based HTTP networking library that simplifies API communication in iOS and macOS applications.</p>,
RxSwift,Adopt,Languages & Frameworks,FALSE,<p>A Swift implementation of ReactiveX a library for composing asynchronous and event-based programs using observable sequences.</p>,
Nimble,Adopt,Languages & Frameworks,FALSE,<p>A matcher framework for Swift and Objective-C that enhances XCTest with additional assertions and expectations.</p>,
Quick,Adopt,Languages & Frameworks,FALSE,<p>A behavior-driven development (BDD) framework for Swift and Objective-C that promotes writing well-structured and readable tests.</p>,
Postman,Adopt,Tools,FALSE,<p>A popular API development and testing tool that simplifies API design, collaboration, and testing.</p>,
Proxyman,Adopt,Tools,FALSE,<p>A modern web debugging proxy app for macOS that allows developers to intercept and inspect HTTP(S) traffic.</p>,
Docker,Adopt,Platforms,FALSE,<p>A platform for developing shipping and running applications in containers providing a consistent environment across platforms.</p>,
Docker Swarm,Adopt,Tools,FALSE,<p>A native clustering and orchestration tool for Docker that allows for the creation and management of Docker services and nodes.</p>,
Prometheus,Adopt,Platforms,FALSE,"<p> An open-source monitoring and alerting toolkit designed for reliability and scalability often used with Kubernetes.
</p>",
Grafana,Adopt,Platforms,FALSE,<p> A visualization and analytics platform for monitoring and exploring</p>,
Nginx,Adopt,Platforms,FALSE,<p>A high-performance web server reverse proxy and load balancer that can also be used as an HTTP cache and mail proxy.</p>,
Kubernetes,Adopt,Platforms,FALSE,<p>A container orchestration platform for automating deployment scaling and management of containerized applications.</p>,
Statsd,Adopt,Tools,FALSE,<p>A network daemon that listens for statistics like counters and timers and sends aggregated data to one or more pluggable backend services.</p>,
Protobuf,Adopt,Techniques,FALSE,<p>A language-agnostic binary serialization format developed by Google for efficient and extensible data exchange between different services.</p>,
Golang,Adopt,Languages & Frameworks,FALSE,<p>A statically-typed compiled programming language designed by Google for systems programming emphasizing simplicity and performance.</p>,
SQL ,Adopt,Languages & Frameworks,FALSE,<p>Structured Query Language a domain-specific language used for managing and querying relational databases.</p>,
PromQL,Adopt,Languages & Frameworks,FALSE,<p>Prometheus Query Language a functional query language for time-series data used with the Prometheus monitoring system.</p>,
PostgreSQL,Adopt,Platforms,FALSE,<p>A powerful open-source object-relational database management system with a strong focus on extensibility and standards compliance.</p>,
Kafka,Adopt,Platforms,FALSE,<p> A distributed streaming platform for building real-time data pipelines and streaming applications handling high-throughput and fault-tolerance.</p>,
Elasticsearch,Adopt,Platforms,FALSE,<p>A distributed RESTful search and analytics engine built on Apache Lucene often used for log and event data analysis.</p>,
K6,Adopt,Tools,FALSE,<p>A modern load testing tool for developers and testers offering a scriptable and scalable solution for performance testing.</p>,
Go Swagger,Adopt,Platforms,FALSE,<p> A toolkit for generating and consuming Swagger API documentation in Go based on the OpenAPI Specification.</p>,
Wireshark,Adopt,Tools,FALSE,<p>A widely-used network protocol analyzer that allows users to see what's happening on their network at a microscopic level.</p>
