name,ring,quadrant,isNew,description
Linux,Adopt,Languages & frameworks,FALSE,<p>Open source operating system with excellent stability and security widely used for servers and infrastructure - <a href='https://www.linux.org/'>docs</a></p>
Kubernetes,Adopt,Platforms,FALSE,<p>Open source container orchestration platform that automates deploying scaling and operating application containers - <a href='https://kubernetes.io/docs/home/'>docs</a></p>   
Scala,Adopt,Languages & frameworks,FALSE,<p>Modern multi-paradigm programming language that integrates object-oriented and functional concepts - <a href='https://docs.scala-lang.org/'>docs</a></p>
Kotlin,Adopt,Languages & frameworks,FALSE,<p>Modern concise programming language for the JVM and Android with Java interoperability - <a href='https://kotlinlang.org/docs/home.html'>docs</a></p>
Java,Adopt,Languages & frameworks,FALSE,<p>Popular secure object-oriented programming language for building robust cross platform applications - <a href='https://docs.oracle.com/javase/8/docs/'>docs</a></p>
Hadoop,Adopt,Platforms,FALSE,<p>Leading big data platform for distributed storage and processing of extremely large data sets - <a href='https://hadoop.apache.org/docs/current/'>docs</a></p>
Helm,Adopt,Tools,FALSE,<p>Kubernetes package manager that helps install and manage apps and services on Kubernetes - <a href='https://helm.sh/docs/'>docs</a></p>
Python,Adopt,Languages & frameworks,FALSE,<p>Interpreted high-level programming language known for its simplicity and versatility - <a href='https://docs.python.org/3/'>docs</a></p>   
ArenaData Hadoop,Hold,Platforms,FALSE,<p>Proprietary distribution of Apache Hadoop big data platform from Hortonworks - <a href='https://docs.hortonworks.com/HDPDocuments/ArenaData/ArenaData-1.0.0/index.html'>docs</a></p>
Hive,Adopt,Platforms,FALSE,<p>Data warehouse infrastructure built on top of Hadoop for summarizing querying and analyzing large data sets - <a href='https://cwiki.apache.org/confluence/display/Hive/Home'>docs</a></p>
ElasticSearch,Adopt,Platforms,FALSE,<p>Open source distributed search and analytics engine designed for horizontal scalability and high availability - <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/index.html'>docs</a></p>
Kafka,Adopt,Platforms,FALSE,<p>Distributed streaming platform designed to build real-time data pipelines and streaming apps with high throughput and low latency - <a href='https://kafka.apache.org/documentation/'>docs</a></p>
Prometheus,Adopt,Platforms,FALSE,<p>Open source systems monitoring and alerting toolkit with a dimensional data model and flexible query language - <a href='https://prometheus.io/docs/introduction/overview/'>docs</a></p>   
Postgresql,Adopt,Platforms,FALSE,<p>Powerful open source object-relational database system with a strong reputation for reliability integrity and robust feature set - <a href='https://www.postgresql.org/docs/'>docs</a></p>
Clickhouse,Adopt,Platforms,TRUE,<p>Column-oriented database management system designed for fast analytics on extremely large data sets - <a href='https://clickhouse.com/docs/en/'>docs</a></p>
Spark,Adopt,Languages & frameworks,FALSE,<p>Open source unified analytics engine for large-scale data processing and machine learning - <a href='https://spark.apache.org/docs/latest/'>docs</a></p>
Nifi,Adopt,Languages & frameworks,FALSE,<p>Open source dataflow system for securely automating the flow of data between systems to power data pipelines - <a href='https://nifi.apache.org/docs.html'>docs</a></p>  
Airflow,Adopt,Languages & frameworks,FALSE,<p>Open source platform to programmatically author schedule and monitor workflows and data pipelines - <a href='https://airflow.apache.org/docs/'>docs</a></p>
Dbt (Data build tool),Adopt,Languages & frameworks,TRUE,<p>Open source data transformation tool that enables analytics engineers to build and iterate on data transformations - <a href='https://docs.getdbt.com/'>docs</a></p>
Spring Framework,Adopt,Languages & frameworks,FALSE,<p>Popular Java application framework for building enterprise-ready software solutions in Java - <a href='https://spring.io/projects/spring-framework'>docs</a></p>
Snowplow,Adopt,Languages & frameworks,TRUE,<p>Open source enterprise-scale pipeline for collecting processing and operationalizing behavioral event data - <a href='https://snowplowanalytics.com/docs/'>docs</a></p>   
Flink,Assess,Languages & frameworks,TRUE,<p>Open source framework for scalable batch and stream data processing with powerful stream processing capabilities - <a href='https://nightlies.apache.org/flink/flink-docs-release-1.15/'>docs</a></p>
LinkedIn DataHub Project,Assess,Tools,TRUE,<p>Open source metadata management platform to maximize the value of organizational data assets - <a href='https://datahubproject.io/docs/'>docs</a></p>
OpenLineage,Assess,Tools,TRUE,<p>Open source data lineage framework to track data flows and processes across systems enabling transparency and governance - <a href='https://docs.openlineage.io/'>docs</a></p>
Metabase,Assess,Tools,TRUE,<p>Open source business intelligence tool for easy data exploration visualization and sharing to make analytics accessible - <a href='https://www.metabase.com/docs/'>docs</a></p>
Superset,Assess,Tools,TRUE,<p>Open source enterprise business intelligence web application for data exploration and visualization - <a href='https://superset.apache.org/docs/'>docs</a></p>
Qlik Sense,Adopt,Tools,TRUE,<p>Proprietary end-to-end platform for self-service data analytics with interactive dashboards and visualizations - <a href='https://help.qlik.com/en-US/sense/'>docs</a></p>
Jupyter,Trial,Tools,TRUE,<p>Open source web application that provides interactive data science and scientific computing environments - <a href='https://jupyter.org/documentation'>docs</a></p>
Zeppelin,Adopt,Tools,FALSE,<p>Open source web-based notebook for interactive data analytics with built-in data visualizations - <a href='https://zeppelin.apache.org/docs/latest/'>docs</a></p>
Nexus,Adopt,Tools,FALSE,<p>Repository manager that provides repository management build artifact caching and more for software development - <a href='https://help.sonatype.com/repomanager3'>docs</a></p>
Docker,Adopt,Tools,FALSE,<p>Open platform for developing shipping and running applications using containers to package dependencies - <a href='https://docs.docker.com/'>docs</a></p>
Apache Ranger,Assess,Tools,TRUE,<p>Open source framework to enable monitor and manage comprehensive data security across Hadoop platform - <a href='https://ranger.apache.org/docs/'>docs</a></p>
Grafana,Adopt,Tools,FALSE,<p>Open observability platform for visualizing and analyzing metrics collected from systems and devices - <a href='https://grafana.com/docs/'>docs</a></p>
Kibana,Adopt,Tools,FALSE,<p>Open source analytics and visualization platform designed to operate with Elasticsearch - <a href='https://www.elastic.co/guide/en/kibana/current/index.html'>docs</a></p>
GitLab Premium,Adopt,Platforms,FALSE,<p>Complete DevOps platform delivered as a single application with CI/CD monitoring and more - <a href='https://docs.gitlab.com/'>docs</a></p>    
Atlassian Jira,Adopt,Platforms,FALSE,<p>Proprietary issue tracking product for agile project management with robust workflows - <a href='https://confluence.atlassian.com/jiracoreserver'>docs</a></p>
Lens,Adopt,Tools,FALSE,<p>Open source IDE designed to make it easier to develop debug and monitor Kubernetes apps - <a href='https://docs.k8slens.dev/'>docs</a></p>
