name,ring,quadrant,isNew,description
Kotlin,Adopt,Languages & frameworks,FALSE,<p>Modern statically-typed JVM programming language optimized for safety concision and interoperability with Java - <a href='https://kotlinlang.org/docs/home.html'>Docs</a></p>
Recycli,Adopt,Languages & frameworks,FALSE,<p>Kotlin Android library that simplifies building RecyclerViews with multiple view types using DiffUtil and code generation and MVI architecture - <a href='https://github.com/detmir/recycli'>Docs</a></p>
RxKotlin,Hold,Languages & frameworks,FALSE,<p>Extension for Kotlin that adds reactive and functional programming capabilities through Observable sequences - <a href='https://github.com/ReactiveX/RxKotlin'>Docs</a></p>
Kotlin Coroutines,Adopt,Languages & frameworks,TRUE,<p>Lightweight concurrency design pattern in Kotlin that simplifies async code by avoiding callback hell - <a href='https://kotlinlang.org/docs/coroutines-overview.html'>Docs</a></p>
Gson,Adopt,Languages & frameworks,FALSE,<p>Java library for serializing and deserializing JSON from and to Java objects with no annotations required - <a href='https://github.com/google/gson'>Docs</a></p>
Retrofit,Adopt,Languages & frameworks,FALSE,<p>Type-safe REST client for Android and Java that handles API interactions using annotations and conventions - <a href='https://square.github.io/retrofit/'>Docs</a></p>
Hilt,Adopt,Languages & frameworks,FALSE,<p>Dependency injection library for Android built on Dagger that simplifies injection boilerplate code - <a href='https://developer.android.com/training/dependency-injection/hilt-android'>Docs</a></p>
Jetpack Navigation,Adopt,Languages & frameworks,FALSE,<p>Android Jetpack library that simplifies implementing navigation between screens using XML graph definitions - <a href='https://developer.android.com/guide/navigation/navigation-getting-started'>Docs</a></p>
Flow,Adopt,Languages & frameworks,TRUE,<p>Reactive streams API in Kotlin for asynchronously processing streams of data sequentially and safely - <a href='https://kotlinlang.org/docs/flow.html'>Docs</a></p>
LiveData,Hold,Languages & frameworks,FALSE,<p>Android Jetpack lifecycle-aware observable data holder class designed to be used with UI components - <a href='https://developer.android.com/topic/libraries/architecture/livedata'>Docs</a></p>
Room,Adopt,Languages & frameworks,FALSE,<p>Android Jetpack SQLite object mapping library providing an abstraction layer over SQLite database - <a href='https://developer.android.com/training/data-storage/room'>Docs</a></p>
Picasso,Adopt,Languages & frameworks,FALSE,<p>Popular Android image loading library for asynchronously downloading and caching and displaying images - <a href='https://square.github.io/picasso/'>Docs</a></p>
Jetpack Architecture Components,Adopt,Languages & frameworks,FALSE,<p>Collection of libraries from Android Jetpack like LiveData and Navigation that help design robust testable apps - <a href='https://developer.android.com/topic/libraries/architecture'>Docs</a></p>
Lint,Adopt,Tools,FALSE,<p>Android Studio static code analysis tool that helps surface bugs and quality issues in code - <a href='http://tools.android.com/tips/lint'>Docs</a></p>
Gradle,Adopt,Tools,FALSE,<p>Open source build automation tool focused on flexibility and performance used for building Android apps - <a href='https://docs.gradle.org/current/userguide/userguide.html'>Docs</a></p>
Gitlab,Adopt,Platforms,FALSE,<p>Web-based DevOps lifecycle platform offering version control and CI/CD pipelines and monitoring and more - <a href='https://docs.gitlab.com/'>Docs</a></p>
Firebase,Adopt,Platforms,FALSE,<p>Google's mobile backend-as-a-service offering realtime database and authentication and crash reporting and more - <a href='https://firebase.google.com/docs'>Docs</a></p>
Android studio,Adopt,Tools,FALSE,<p>Official integrated development environment (IDE) for Android development providing emulators and SDK tools etc - <a href='https://developer.android.com/studio'>Docs</a></p>
Jira,Adopt,Platforms,FALSE,<p>Proprietary project management tracking tool from Atlassian used for agile development and issue tracking - <a href='https://confluence.atlassian.com/jiracoreserver'>Docs</a></p>
Jetpack Compose,Trial,Languages & frameworks,TRUE,<p>Modern Android UI toolkit for building native UIs with a declarative Kotlin DSL instead of XML layouts - <a href='https://developer.android.com/jetpack/compose'>Docs</a></p>
Feature Flags,Adopt,Techniques,FALSE,<p>Software development technique to turn features on/off at runtime enabling controlled rollouts and testing - <a href='https://www.featureflags.io/'>Docs</a></p>
SnowPlow,Trial,Languages & frameworks,TRUE,<p>Open source data pipeline for collecting and processing and operationalizing high volume behavioral data - <a href='https://docs.snowplowanalytics.com/'>Docs</a></p>
Confluence,Adopt,Platforms,FALSE,<p>Team collaboration software from Atlassian for creating technical documentation and knowledge management - <a href='https://confluence.atlassian.com/doc/confluence-documentation-home-3296.html'>Docs</a></p>
Kaspresso,Adopt,Languages & frameworks,FALSE,<p>Lightweight Kotlin Android UI testing library on top of Espresso providing concise and readable tests - <a href='https://github.com/KasperskyLab/Kaspresso'>Docs</a></p>
Wiremock,Adopt,Tools,FALSE,<p>Library for stubbing and mocking web services during testing allowing simulation of various behaviors - <a href='http://wiremock.org/docs/'>Docs</a></p>
UI tests,Adopt,Techniques,FALSE,<p>Testing approach that focuses on simulating user interface interactions to validate functionality and UX - <a href='https://www.browserstack.com/guide/ui-testing-and-its-types'>Docs</a></p>
JUnit4,Adopt,Languages & frameworks,FALSE,<p>Veteran Java unit testing framework providing annotations and classes to organize test code - <a href='https://junit.org/junit4/'>Docs</a></p>
Ktor,Adopt,Languages & frameworks,FALSE,<p>Kotlin framework for building connected applications supporting client-server and async TCP and websocket use cases - <a href='https://ktor.io/docs/welcome.html'>Docs</a></p>
Yandex Maps,Adopt,Languages & frameworks,FALSE,<p>Maps and location services platform from Yandex with APIs for web and mobile apps - <a href='https://tech.yandex.com/maps/doc/jsapi/2.1/quick-start/tasks/quick-start-docpage/'>Docs</a></p>
Google ML-kit,Adopt,Languages & frameworks,FALSE,<p>Google SDK for building machine learning apps on Android and iOS providing APIs for common models - <a href='https://developers.google.com/ml-kit'>Docs</a></p>
