name,ring,quadrant,isNew,description
Java,Adopt,Languages & frameworks,FALSE,<p>Popular secure object-oriented programming language for building robust cross platform applications and services - <a href='https://docs.oracle.com/javase/8/docs/'>docs</a></p>   
TestNG,Adopt,Languages & frameworks,FALSE,<p>Leading testing framework for Java applications with annotations-based configuration and parameterized test methods - <a href='https://testng.org/doc/'>docs</a></p>
RestAssured,Adopt,Languages & frameworks,FALSE,<p>Java domain-specific language for simplified testing and validation of REST services using descriptive keywords - <a href='https://rest-assured.io/'>docs</a></p>     
Selenide,Adopt,Languages & frameworks,FALSE,<p>Concise Java framework for writing stable and readable UI tests using Selenium WebDriver with intuitive jQuery-style selectors - <a href='https://selenide.org/'>docs</a></p>
AssertJ,Adopt,Languages & frameworks,FALSE,<p>Java library providing a rich and fluent API for writing test assertions in a readable and expressive manner - <a href='https://assertj.github.io/doc/'>docs</a></p>   
Spring,Adopt,Languages & frameworks,FALSE,<p>Popular Java enterprise application framework for building robust and production-ready software solutions - <a href='https://spring.io/projects/spring-framework'>docs</a></p>     
Spring Boot,Adopt,Languages & frameworks,FALSE,<p>Widely used Java framework for building standalone production-grade applications with minimal configuration through convention over configuration - <a href='https://spring.io/projects/spring-boot'>docs</a></p>     
Lombok,Adopt,Languages & frameworks,FALSE,<p>Java library that simplifies coding and reduces boilerplate code by automatically generating getters setters constructors and more through annotations - <a href='https://projectlombok.org/'>docs</a></p>   
Mockito,Adopt,Languages & frameworks,FALSE,<p>Leading mocking framework for Java with an intuitive API and wide range of matchers and verification options for effective unit testing - <a href='https://site.mockito.org/'>docs</a></p>
Swagger,Adopt,Languages & frameworks,FALSE,<p>Widely used open source framework for defining documenting and visualizing RESTful web services with machine and human readable specifications - <a href='https://swagger.io/'>docs</a></p>   
Allure TestOps,Adopt,Tools,FALSE,<p>Flexible and robust test management platform that provides insights about software testing processes with reporting analytics and integrations - <a href='https://docs.qameta.io/allure-testops/'>docs</a></p>
Wiremock,Adopt,Tools,FALSE,<p>HTTP mocking and stubbing library for Java and cross-language API simulation and virtualization to enable effective unit testing - <a href='http://wiremock.org/docs/'>docs</a></p>
Unleash,Adopt,Languages & frameworks,FALSE,<p>Open source feature flag and toggle platform that provides deployment control and release risk reduction capabilities - <a href='https://docs.getunleash.io/'>docs</a></p>      
Git/GitLab,Adopt,Tools,FALSE,<p>Leading open source version control system for collaborative and distributed software development - <a href='https://git-scm.com/doc'>docs</a></p>   
MySQL,Adopt,Platforms,FALSE,<p>Popular open source relational database management system commonly used for web applications because of speed reliability and ease of use - <a href='https://dev.mysql.com/doc/'>docs</a></p>
Kotlin,Adopt,Languages & frameworks,FALSE,<p>Modern concise programming language that runs on the JVM and combines object-oriented and functional features with excellent Android support - <a href='https://kotlinlang.org/docs/home.html'>docs</a></p>   
Kaspresso,Adopt,Languages & frameworks,FALSE,<p>Lightweight Kotlin-first framework for clear and maintainable Android UI tests offering a fluent API built on top of Espresso - <a href='https://github.com/KasperskyLab/Kaspresso'>docs</a></p>       
Kakao,Adopt,Languages & frameworks,FALSE,<p>Kotlin library for more readable and reliable Android UI testing based on Espresso providing a concise and easy to use DSL - <a href='https://github.com/agoda-com/Kakao'>docs</a></p>   
Retrofit,Adopt,Languages & frameworks,FALSE,<p>Popular type-safe REST client library for Android and Java that handles API interactions using annotations and conventions over configurations - <a href='https://square.github.io/retrofit/'>docs</a></p>   
Marathon,Adopt,Languages & frameworks,FALSE,<p>Lightweight Android testing framework written in Kotlin providing a streamlined API optimized for simplicity stability and speed of test authoring - <a href='https://github.com/Malinskiy/marathon'>docs</a></p>      
Android Studio,Adopt,Tools,FALSE,<p>Official integrated development environment designed by Google specifically for building Android apps providing emulators SDK tools and advanced debugging - <a href='https://developer.android.com/studio'>docs</a></p>   
Xcode,Adopt,Tools,FALSE,<p>Apple's integrated development environment containing a suite of software development tools for macOS iOS iPadOS and more - <a href='https://developer.apple.com/xcode/'>docs</a></p>
XCTest,Adopt,Languages & frameworks,FALSE,<p>Native unit testing framework built into Xcode providing a test-driven development environment for Apple platforms like iOS macOS and more - <a href='https://developer.apple.com/documentation/xctest'>docs</a></p>
Swift,Adopt,Languages & frameworks,FALSE,<p>Modern general-purpose programming language designed by Apple for iOS macOS watchOS and more focused on safety performance and clarity - <a href='https://swift.org/documentation/'>docs</a></p>       
Alamofire,Adopt,Languages & frameworks,FALSE,<p>Widely used Swift framework for elegant and composable HTTP networking in iOS and macOS applications with chainable request/response methods - <a href='https://github.com/Alamofire/Alamofire'>docs</a></p>  
RxSwift,Adopt,Languages & frameworks,FALSE,<p>Library enabling reactive and asynchronous programming in Swift through declarative code and observable streams to simplify concurrency - <a href='https://github.com/ReactiveX/RxSwift'>docs</a></p>
Nimble,Adopt,Languages & frameworks,FALSE,<p>Lightweight Swift testing library providing expressive matchers and functions that enable writing clear and readable test expectations - <a href='https://github.com/Quick/Nimble'>docs</a></p>      
Quick,Adopt,Languages & frameworks,FALSE,<p>Swift testing framework designed for behavior-driven development and provides structure for writing specification-style tests - <a href='https://github.com/Quick/Quick'>docs</a></p>
Postman,Adopt,Tools,FALSE,<p>Popular API development environment that simplifies workflows and enables creating sharing testing and documenting APIs - <a href='https://learning.postman.com/docs/getting-started/introduction/'>docs</a></p>   
Proxyman,Adopt,Tools,FALSE,<p>Modern intuitive HTTP proxy application for macOS providing insights about network requests and allowing modification of traffic flows - <a href='https://proxyman.io/docs/'>docs</a></p>
Docker,Adopt,Tools,FALSE,<p>Leading containerization platform that revolutionized software delivery by enabling packaging of apps with dependencies into portable images - <a href='https://docs.docker.com/'>docs</a></p>   
Docker Swarm,Adopt,Tools,FALSE,<p>Container orchestration and clustering tool built into Docker for natively managing a cluster of Docker Engines called a swarm using APIs - <a href='https://docs.docker.com/engine/swarm/'>docs</a></p>       
Prometheus,Adopt,Platforms,FALSE,<p>Open source monitoring and alerting toolkit with dimensional data model powerful query language and native support for Kubernetes - <a href='https://prometheus.io/docs/introduction/overview/'>docs</a></p>    
Grafana,Adopt,Tools,FALSE,<p>Feature-rich open source platform for data visualization and monitoring with beautiful interactive dashboards - <a href='https://grafana.com/docs/'>docs</a></p>
Nginx,Adopt,Tools,FALSE,<p>High performance open source web server and reverse proxy for load balancing caching media streaming and API gateways - <a href='https://docs.nginx.com/'>docs</a></p>   
Kubernetes,Adopt,Platforms,FALSE,<p>Leading open source container orchestration platform for automating deployment scaling and operations of containerized apps - <a href='https://kubernetes.io/docs/home/'>docs</a></p>       
Statsd,Adopt,Tools,FALSE,<p>Real time metrics collection and aggregation server that listens for application statistic events over UDP and periodically flushes data - <a href='https://github.com/etsy/statsd'>docs</a></p>   
Protobuf,Adopt,Languages & frameworks,FALSE,<p>Google's language-neutral open source format for serializing structured data for storage or transmission while supporting multiple programming languages - <a href='https://developers.google.com/protocol-buffers/'>docs</a></p>       
