name,ring,quadrant,isNew,description
Linux,Adopt,Languages & frameworks,FALSE,<p>Open source operating system widely used for servers and infrastructure with excellent stability and security <a href='https://www.linux.org/'>Docs</a></p>
HTML,Adopt,Languages & frameworks,FALSE,<p>Standard markup language for creating web pages and web applications <a href='https://developer.mozilla.org/en-US/docs/Web/HTML'>Docs</a></p>
CSS,Adopt,Languages & frameworks,FALSE,<p>Style sheet language used for describing the look and formatting of HTML documents <a href='https://developer.mozilla.org/en-US/docs/Web/CSS'>Docs</a></p>     
JavaScript,Adopt,Languages & frameworks,FALSE,<p>High-level multi-paradigm programming language commonly used for web development and in web browsers <a href='https://developer.mozilla.org/en-US/docs/Web/JavaScript'>Docs</a></p>
NodeJS,Adopt,Languages & frameworks,FALSE,<p>Open source cross-platform JavaScript runtime environment for executing JavaScript code outside a browser <a href='https://nodejs.org/en/docs/'>Docs</a></p>    
Bash 5,Adopt,Languages & frameworks,FALSE,<p>Widely used command line shell and scripting language for Unix-like operating systems <a href='https://www.gnu.org/software/bash/manual/html_node/index.html'>Docs</a></p>
TypeScript,Trial,Languages & frameworks,FALSE,<p>Open source programming language developed by Microsoft; superset of JavaScript <a href='https://www.typescriptlang.org/docs/'>Docs</a></p>
nginx njs,Trial,Languages & frameworks,FALSE,<p>Extended version of NGINX web server with additional JavaScript module for scripting <a href='https://www.nginx.com/resources/wiki/nginScript/'>Docs</a></p>
WebComponents,Assess,Languages & frameworks,TRUE,<p>Suite of web platform APIs to create reusable custom elements with encapsulated functionality <a href='https://developer.mozilla.org/en-US/docs/Web/Web_Components'>Docs</a></p>     
Unleash,Trial,Tools,TRUE,<p>Open source feature flag and toggle platform for software development and DevOps <a href='https://docs.getunleash.io'>Docs</a></p>
InfluxDB,Adopt,Platforms,FALSE,<p>Open source time series database optimized for fast read and write of time stamped data <a href='https://docs.influxdata.com/influxdb/'>Docs</a></p>
ElasticSearch,Adopt,Platforms,TRUE,<p>Open source distributed RESTful search and analytics engine built on Apache Lucene <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/index.html'>Docs</a></p>    
NestJS,Trial,Languages & frameworks,TRUE,<p>Progressive Nodejs framework for building efficient reliable and scalable server-side applications <a href='https://docs.nestjs.com/'>Docs</a></p>
React,Adopt,Languages & frameworks,FALSE,<p>Popular open source front end JavaScript library developed by Facebook for building user interfaces <a href='https://reactjs.org/docs/getting-started.html'>Docs</a></p>    
Redux,Adopt,Languages & frameworks,FALSE,<p>JavaScript library for managing application state commonly used with React and React Native <a href='https://redux.js.org/introduction/getting-started'>Docs</a></p>
React-router,Adopt,Languages & frameworks,FALSE,<p>Declarative routing library for React web applications with components and hooks APIs <a href='https://reactrouter.com/en/main/start/overview'>Docs</a></p>
RTK,Trial,Languages & frameworks,TRUE,<p>Official Redux toolkit containing packages to simplify common Redux use cases <a href='https://redux-toolkit.js.org/introduction/getting-started'>Docs</a></p>     
Reselect,Adopt,Languages & frameworks,FALSE,<p>Simple selector library for Redux to derive data from the store state and compute derived data <a href='https://github.com/reduxjs/reselect'>Docs</a></p>
