name,ring,quadrant,isNew,description
Linux,Adopt,Languages & frameworks,FALSE,<p>Open source operating system with excellent stability and security widely used for servers and infrastructure - <a href='https://www.linux.org/'>docs</a></p>
Java 15,Adopt,Languages & frameworks,TRUE,<p>Popular secure object oriented programming language for building robust cross platform applications - <a href='https://docs.oracle.com/en/java/javase/15/'>docs</a></p>    
Java 11,Adopt,Languages & frameworks,FALSE,<p>Long term support version of Java popular for building enterprise applications and microservices - <a href='https://docs.oracle.com/en/java/javase/11/'>docs</a></p>
Kotlin,Adopt,Languages & frameworks,TRUE,<p>Modern concise JVM language with excellent Android support and interoperability with Java - <a href='https://kotlinlang.org/docs/home.html'>docs</a></p>
Solr 9,Assess,Platforms,TRUE,<p>Leading open source enterprise search platform built on Apache Lucene with powerful full-text search capabilities - <a href='https://solr.apache.org/guide/9_0/'>docs</a></p>    
Scala,Hold,Languages & frameworks,FALSE,<p>Multi-paradigm programming language that integrates object-oriented and functional concepts - <a href='https://docs.scala-lang.org/'>docs</a></p>
Java 1.8,Hold,Languages & frameworks,FALSE,<p>Legacy version of Java once widely used but now outdated and reaching end of public support - <a href='https://docs.oracle.com/javase/8/docs/'>docs</a></p>
SAP Hybris,Hold,Platforms,FALSE,<p>Proprietary legacy ecommerce and customer relationship management platform</p>
Maven,Adopt,Tools,FALSE,<p>Mature and widely adopted build automation tool for Java projects with dependency management capabilities - <a href='https://maven.apache.org/guides/'>docs</a></p>
Gradle,Adopt,Tools,FALSE,<p>Powerful build tool with rich domain specific language allowing management of complex multi-project builds - <a href='https://docs.gradle.org/current/userguide/userguide.html'>docs</a></p>
SBT,Hold,Tools,FALSE,<p>De facto build tool for Scala and Scala based projects with capabilities similar to Maven and Gradle - <a href='https://www.scala-sbt.org/1.x/docs/index.html'>docs</a></p>
PostgreSQL 14,Adopt,Platforms,TRUE,<p>Powerful open source SQL relational database with excellent performance stability and standards compliance - <a href='https://www.postgresql.org/docs/14/index.html'>docs</a></p>
Solr 7,Adopt,Platforms,FALSE,<p>Mature major version of Apache Solr providing versatile text search functionality over large data sets - <a href='https://solr.apache.org/guide/7_7/'>docs</a></p>
Redis,Adopt,Platforms,FALSE,<p>Widely used open source in-memory data store known for high performance replication capabilities and flexible data structures - <a href='https://redis.io/documentation'>docs</a></p>
Kafka,Adopt,Platforms,FALSE,<p>Distributed streaming platform handling extremely high data volumes with publish-subscribe messaging and fault tolerance - <a href='https://kafka.apache.org/documentation/'>docs</a></p>    
Prometheus,Adopt,Tools,FALSE,<p>Cloud native monitoring system and time series database designed for reliability performance and scalability - <a href='https://prometheus.io/docs/introduction/overview/'>docs</a></p>
MySQL,Hold,Platforms,FALSE,<p>Legacy open source relational database still used in many organizations but increasingly replaced by more modern options - <a href='https://dev.mysql.com/doc/'>docs</a></p>
SpringBoot 2x,Adopt,Languages & frameworks,FALSE,<p>Widely adopted Java framework for building robust enterprise ready applications and microservices - <a href='https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/'>docs</a></p>
Lombok,Adopt,Languages & frameworks,FALSE,<p>Popular Java library that simplifies coding and reduces boilerplate code through annotations - <a href='https://projectlombok.org/features/all'>docs</a></p>   
LogStash,Adopt,Languages & frameworks,FALSE,<p>Versatile log aggregation tool that allows ingesting transforming and routing log data from diverse sources - <a href='https://www.elastic.co/guide/en/logstash/current/getting-started-with-logstash.html'>docs</a></p>
ShedLock,Adopt,Languages & frameworks,FALSE,<p>Convenient distributed locking library for Java that prevents redundant job execution in clustered environments - <a href='https://javadoc.io/doc/net.javacrumbs.shedlock/shedlock-parent/4.38.1'>docs</a></p>
Hibernate,Hold,Languages & frameworks,FALSE,<p>Mature but complex object-relational mapping framework for Java with extensive capabilities - <a href='https://hibernate.org/orm/documentation/'>docs</a></p>     
Resilience4j,Adopt,Languages & frameworks,TRUE,<p>Lightweight Java library providing implementations of common fault tolerance patterns like retry fallback rate limiting etc - <a href='https://resilience4j.readme.io/docs'>docs</a></p>
Rest-assured,Adopt,Languages & frameworks,TRUE,<p>Java DSL for simplified testing of REST based services allowing easy specification and validation of requests and responses - <a href='https://github.com/rest-assured/rest-assured/wiki/Usage'>docs</a></p>
Kotlin Corutines,Adopt,Languages & frameworks,TRUE,<p>More idiomatic way of writing async code in Kotlin compared to callbacks or CompletableFuture - <a href='https://kotlinlang.org/docs/coroutines-overview.html'>docs</a></p>     
Junit/Jupiter,Adopt,Languages & frameworks,TRUE,<p>Next generation Java unit testing framework with support for modern programming styles and extended capabilities - <a href='https://junit.org/junit5/docs/current/user-guide/'>docs</a></p>
Akka streams,Hold,Languages & frameworks,FALSE,<p>Reactive streams implementation in Scala and Java allowing asynchronous and non-blocking event driven applications - <a href='https://doc.akka.io/docs/akka/current/stream/index.html'>docs</a></p>
Mockito,Adopt,Languages & frameworks,FALSE,<p>Leading mocking framework for Java with an intuitive API and wide range of matchers and verification options - <a href='https://site.mockito.org/'>docs</a></p>
Akka http,Hold,Languages & frameworks,FALSE,<p>Toolkit and server side library for building REST services on the JVM using an actor based approach - <a href='https://doc.akka.io/docs/akka-http/current/'>docs</a></p>     
Liquibase,Adopt,Languages & frameworks,FALSE,<p>Mature database change management tool for tracking applying and rolling back schema changes - <a href='https://docs.liquibase.com/'>docs</a></p>
Testcontainers,Adopt,Languages & frameworks,FALSE,<p>Convenient library providing lightweight disposable containers for databases Selenium webdrivers etc to facilitate testing - <a href='https://www.testcontainers.org/test_framework_integration/junit_5/'>docs</a></p>
AssertJ,Adopt,Languages & frameworks,FALSE,<p>Fluent assertion library for Java that improves readability of tests with its expressive API - <a href='https://assertj.github.io/doc/'>docs</a></p>      
Jooq,Adopt,Languages & frameworks,TRUE,<p>Allows writing SQL/JPQL queries directly in Java code while avoiding SQL injection risks and faulty string concatenation - <a href='https://www.jooq.org/doc/'>docs</a></p>
