name;ring;quadrant;isNew;description;
Linux;Adopt;Languages & frameworks;FALSE;<p>Open source operating system with excellent stability and security widely used for servers and infrastructure - <a href='https://www.linux.org/'>docs</a></p>;11
SAP Hybris;Hold;Platforms;FALSE;<p>Proprietary legacy ecommerce and customer relationship management platform</p>;1
Prometheus;Adopt;Tools;FALSE;<p>Cloud native monitoring system and time series database designed for reliability performance and scalability - <a href='https://prometheus.io/docs/introduction/overview/'>docs</a></p>;11
Lombok;Adopt;Languages & frameworks;FALSE;<p>Popular Java library that simplifies coding and reduces boilerplate code through annotations - <a href='https://projectlombok.org/features/all'>docs</a></p>   ;1
Junit/Jupiter;Adopt;Languages & frameworks;TRUE;<p>Next generation Java unit testing framework with support for modern programming styles and extended capabilities - <a href='https://junit.org/junit5/docs/current/user-guide/'>docs</a></p>;1
Kubernetes;Adopt;Platforms;FALSE;<p>Leading open source container orchestration platform providing automation for deployment scaling and management of containerized apps - <a href='https://kubernetes.io/docs/home/'>docs</a></p>  ;11
Helm 3;Adopt;Tools;TRUE;<p>Kubernetes package manager that helps define install and upgrade complex apps spanning multiple Kubernetes manifests - <a href='https://helm.sh/docs/'>docs</a></p>;11
Jenkins;Hold;Tools;FALSE;<p>Legacy self-hosted automation server used for CI/CD pipelines but increasingly being replaced by modern options - <a href='https://www.jenkins.io/doc/'>docs</a></p>;11
Undertow;Adopt;Tools;FALSE;<p>Performant and lightweight web server developed as part of WildFly providing non-blocking IO and low resource usage - <a href='https://undertow.io/documentation.html'>docs</a></p>;?
Docker;Adopt;Tools;FALSE;<p>Industry standard container platform that revolutionized software delivery by enabling packaging of apps with dependencies into portable images - <a href='https://docs.docker.com/'>docs</a></p>;11
Kibana;Adopt;Tools;FALSE;<p>Data visualization and exploration tool for the Elastic stack that allows creating rich interactive dashboards - <a href='https://www.elastic.co/guide/en/kibana/current/introduction.html'>docs</a></p>   ;11
Swagger;Adopt;Tools;FALSE;<p>Widely used framework for defining and documenting RESTful APIs in a portable human and machine readable format - <a href='https://swagger.io/docs/'>docs</a></p>;11
Grafana;Adopt;Tools;FALSE;<p>Leading open source data visualization and monitoring solution packed with powerful graphing and dashboarding capabilities - <a href='https://grafana.com/docs/'>docs</a></p>    ;11
GitLab;Adopt;Platforms;FALSE;<p>Fully featured DevOps platform providing source code management CI/CD monitoring and many other tools integrated into a single application - <a href='https://docs.gitlab.com/'>docs</a></p>;11
GitLab CI;Adopt;Tools;FALSE;<p>Continuous integration and delivery service built into GitLab for automating the software development process - <a href='https://docs.gitlab.com/ee/ci/'>docs</a></p>;11
Artifactory;Adopt;Tools;FALSE;<p>Enterprise-ready artifact management system for hosting Maven/NPM packages Docker images and other binaries - <a href='https://www.jfrog.com/confluence/display/JFROG/Artifactory+Documentation'>docs</a></p>     ;11
Atlassian Confluence;Adopt;Platforms;FALSE;<p>Popular team collaboration software from Atlassian for creating technical documentation and knowledge management - <a href='https://confluence.atlassian.com/doc/confluence-documentation-home-3296.html'>docs</a></p>;11
Atlassian Jira;Adopt;Platforms;FALSE;<p>Industry leading project and issue tracking software from Atlassian with advanced workflows and automation - <a href='https://confluence.atlassian.com/jiracoreserver'>docs</a></p>;11
SonarQube;Adopt;Tools;FALSE;<p>Leading open source static code analysis platform to perform automated reviews and enforce quality standards - <a href='https://docs.sonarqube.org/latest/'>docs</a></p>;11
Kafka;Adopt;Platforms;FALSE;<p>Distributed streaming platform handling extremely high data volumes with publish-subscribe messaging and fault tolerance - <a href=''>docs</a></p>    ;11
Unleash;Adopt;Tools;FALSE;<p>Unleash gives developers tools to be efficient and love their jobs, while enterprises get market-leading data governance, security, and compliance controls. - <a href='https://www.getunleash.io/'>docs</a></p>;10
Liquibase;Adopt;Languages & frameworks;FALSE;<p>Mature database change management tool for tracking applying and rolling back schema changes - <a href='https://docs.liquibase.com/'>docs</a></p>;10
SonarQube;Adopt;Tools;FALSE;<p>SonarQube Server helps you comply with common code security standards, such as the NIST SSDF. - <a href='https://www.sonarsource.com/products/sonarqube/'>docs</a></p>;9
PostgreSQL;Adopt;Platforms;FALSE;<p>Powerful open source SQL relational database with excellent performance stability and standards compliance - <a href='https://www.postgresql.org/docs/14/index.html'>docs</a></p>;9
Elastic APM;Adopt;Tools;FALSE;<p>APM and tracing solution from Elastic providing application performance monitoring and robust telemetry data - <a href='https://www.elastic.co/guide/en/apm/get-started/'>docs</a></p>;9
Testcontainers;Adopt;Languages & frameworks;FALSE;<p>Convenient library providing lightweight disposable containers for databases Selenium webdrivers etc to facilitate testing - <a href='https://www.testcontainers.org/test_framework_integration/junit_5/'>docs</a></p>;8
JUnit;Adopt;Languages & frameworks;FALSE;<p>The 5th major version of the programmer-friendly testing framework for Java and the JVM. - <a href='https://junit.org/junit5/'>docs</a></p>;8
Resilience4j;Adopt;Languages & frameworks;FALSE;<p>Lightweight Java library providing implementations of common fault tolerance patterns like retry fallback rate limiting etc - <a href='https://resilience4j.readme.io/docs'>docs</a></p>;7
Redis;Adopt;Platforms;FALSE;<p>Widely used open source in-memory data store known for high performance replication capabilities and flexible data structures - <a href='https://redis.io/documentation'>docs</a></p>;7
Micrometer;Adopt;Tools;FALSE;<p>Micrometer provides a facade for the most popular observability systems, allowing you to instrument your JVM-based application code without vendor lock-in. - <a href='https://micrometer.io/'>docs</a></p>;7
Gradle;Adopt;Tools;FALSE;<p>Powerful build tool with rich domain specific language allowing management of complex multi-project builds - <a href='https://docs.gradle.org/current/userguide/userguide.html'>docs</a></p>;7
Spring Boot 2;Adopt;Languages & frameworks;FALSE;<p>Widely adopted Java framework for building robust enterprise ready applications and microservices - <a href='https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/'>docs</a></p>;6
Kotlin;Adopt;Languages & frameworks;FALSE;<p>Modern concise JVM language with excellent Android support and interoperability with Java - <a href='https://kotlinlang.org/docs/home.html'>docs</a></p>;6
Hikari;Adopt;Languages & frameworks;FALSE;"<p>HikariCP is a ""zero-overhead"" production ready JDBC connection pool. At roughly 165Kb, the library is very light. - <a href='https://github.com/brettwooldridge/HikariCP'>docs</a></p>";6
Spring Boot 3;Adopt;Languages & frameworks;TRUE;<p>Widely adopted Java framework for building robust enterprise ready applications and microservices - <a href='https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/'>docs</a></p>;5
