name,ring,quadrant,isNew,description
Linux,Adopt,Platforms,FALSE,<p>Open source Unix-like operating system kernel widely used for servers and infrastructure with excellent stability - <a href='https://www.linux.org/'>Docs</a></p>
Node.js,Adopt,Languages & Frameworks,FALSE,<p>Open source cross-platform JavaScript runtime environment for building server-side and networking apps - <a href='https://nodejs.org/en/docs/'>Docs</a></p>  
JavaScript,Adopt,Languages & Frameworks,FALSE,<p>High level programming language commonly used for web development and in web browsers - <a href='https://developer.mozilla.org/en-US/docs/Web/JavaScript'>Docs</a></p>
Bash 5,Adopt,Languages & Frameworks,FALSE,<p>Widely used Unix shell and command language for interacting with operating systems and executing commands - <a href='https://www.gnu.org/software/bash/manual/html_node/index.html'>Docs</a></p>
TypeScript,Trial,Languages & Frameworks,FALSE,<p>Open source programming language developed by Microsoft; superset of JavaScript - <a href='https://www.typescriptlang.org/docs/'>Docs</a></p>
nginx njs,Trial,Languages & Frameworks,FALSE,<p>Extended version of NGINX web server with additional JavaScript module for scripting - <a href='https://www.nginx.com/resources/wiki/nginScript/'>Docs</a></p>  
Protobuf,Assess,Languages & Frameworks,TRUE,<p>Google's cross-platform open source language neutral data format with bindings for multiple languages - <a href='https://developers.google.com/protocol-buffers/'>Docs</a></p>
PostgreSQL,Adopt,Platforms,TRUE,<p>Powerful open source SQL relational database system emphasizing extensibility and standards compliance - <a href='https://www.postgresql.org/docs/'>Docs</a></p>
MongoDB,Adopt,Platforms,FALSE,<p>Leading open source NoSQL document database known for flexibility scalability and high performance - <a href='https://docs.mongodb.com/'>Docs</a></p> 
Redis,Adopt,Platforms,TRUE,<p>In memory data structure store used as database cache message broker and queue with high performance - <a href='https://redis.io/documentation'>Docs</a></p>  
JSDOM,Adopt,Languages & Frameworks,FALSE,<p>JavaScript implementation of WHATWG DOM and HTML standards that can be used without a browser - <a href='https://github.com/jsdom/jsdom'>Docs</a></p>
Cheerio,Adopt,Languages & Frameworks,FALSE,<p>Fast and flexible JavaScript library allowing jQuery-like syntax for client-side manipulation of DOM in Nodejs - <a href='https://github.com/cheeriojs/cheerio'>Docs</a></p>
JWT,Adopt,Languages & Frameworks,FALSE,<p>Open standard defining secure way to transmit JSON data securely between parties as JSON object - <a href='https://jwt.io/introduction'>Docs</a></p> 
Mongoose,Adopt,Languages & Frameworks,FALSE,<p>Elegant MongoDB object modeling for Nodejs providing schema validation and management of relationships - <a href='https://mongoosejs.com/docs/guide.html'>Docs</a></p>  
Day.js,Assess,Languages & Frameworks,TRUE,<p>Fast lightweight JavaScript date utility library alternative to Momentjs with immutable data and browser size - <a href='https://day.js.org/docs/en/installation/installation'>Docs</a></p>
Express,Hold,Languages & Frameworks,FALSE,<p>Fast and minimalist web framework for Nodejs designing APIs and web applications - <a href='https://expressjs.com/'>Docs</a></p>
Lodash,Hold,Languages & Frameworks,FALSE,<p>Modern JavaScript utility library delivering modularity performance and extras on top of vanilla JavaScript - <a href='https://lodash.com/docs/'>Docs</a></p>
Moment.js,Hold,Languages & Frameworks,FALSE,<p>Legacy JavaScript date utility library for parsing validating manipulating and formatting dates - <a href='http://momentjs.com/docs/'>Docs</a></p>
Fastify,Assess,Languages & Frameworks,TRUE,<p>High performance Nodejs web framework focused on providing maximum efficiency and speed - <a href='https://www.fastify.io/docs/latest/'>Docs</a></p>
GOT,Assess,Languages & Frameworks,TRUE,<p>Simplified HTTP client library for Nodejs allowing clean syntax for making HTTP requests - <a href='https://github.com/sindresorhus/got'>Docs</a></p>
nginx,Adopt,Tools,FALSE,<p>High performance open source HTTP and reverse proxy server and mail proxy server - <a href='https://www.nginx.com/'>Docs</a></p>  
Docker,Adopt,Tools,FALSE,<p>Popular software platform providing containerization to package applications into standardized units - <a href='https://docs.docker.com/'>Docs</a></p>
Jenkins,Adopt,Tools,FALSE,<p>Leading open source automation server for CI/CD pipelines and automating software processes - <a href='https://www.jenkins.io/doc/'>Docs</a></p>  
OpenAPI (Swagger),Adopt,Tools,FALSE,<p>Open source platform for designing and documenting RESTful APIs with built-in mocks and testing - <a href='https://swagger.io/docs/'>Docs</a></p>
Grafana,Adopt,Tools,FALSE,<p>Leading open source platform for monitoring and observability providing visualizations for infrastructure and application metrics - <a href='https://grafana.com/docs/'>Docs</a></p>  
Kibana,Adopt,Tools,FALSE,<p>Free and open user interface that can search view and interact with data in Elasticsearch - <a href='https://www.elastic.co/guide/en/kibana/current/index.html'>Docs</a></p>
GitLab,Adopt,Platforms,FALSE,<p>Web-based DevOps platform providing repository management CI/CD pipelines wikis and more - <a href='https://docs.gitlab.com/'>Docs</a></p>  
Atlassian Confluence,Adopt,Platforms,FALSE,<p>Team collaboration software from Atlassian for creating technical documentation and knowledge management - <a href='https://confluence.atlassian.com/doc/confluence-documentation-home-3296.html'>Docs</a></p>  
Atlassian Jira,Adopt,Platforms,FALSE,<p>Proprietary issue tracking product from Atlassian for agile project management and bug tracking - <a href='https://confluence.atlassian.com/jiracoreserver'>Docs</a></p>
Telegraf,Adopt,Tools,FALSE,<p>Server agent for collecting metrics from databases systems and IoT sensors into InfluxDB or other sinks - <a href='https://docs.influxdata.com/telegraf'>Docs</a></p>
Logstash,Adopt,Tools,FALSE,<p>Server‐side data processing pipeline ingesting data from multiple sources transforming it and sending output - <a href='https://www.elastic.co/guide/en/logstash/current/getting-started-with-logstash.html'>Docs</a></p>
ESLint,Adopt,Tools,FALSE,<p>Configurable JavaScript linter used for identifying problematic patterns in code to enforce code style - <a href='https://eslint.org/docs/latest/'>Docs</a></p>  
Mocha,Adopt,Tools,FALSE,<p>JavaScript test framework for Nodejs providing async/await test retries and enables TDD and BDD - <a href='https://mochajs.org/'>Docs</a></p>
Istanbul,Adopt,Tools,FALSE,<p>JavaScript test coverage tool that computes statement line function and branch coverage by instrumentation - <a href='https://istanbul.js.org/'>Docs</a></p>
Kubernetes,Trial,Platforms,FALSE,<p>Open source system for automating deployment scaling and operations of containerized applications - <a href='https://kubernetes.io/docs/home/'>Docs</a></p>
Postman,Trial,Tools,TRUE,<p>API development platform enabling testing mocking documentation monitoring and publishing of APIs - <a href='https://learning.postman.com/docs/getting-started/introduction/'>Docs</a></p>  
NGINX Plus,Assess,Tools,FALSE,<p>Commercial web server load balancer web application firewall and API gateway based on open source NGINX - <a href='https://docs.nginx.com/nginx/'>Docs</a></p>
Sentry,Assess,Tools,FALSE,<p>Open source error tracking platform that helps developers monitor and fix crashes in real time - <a href='https://docs.sentry.io/'>Docs</a></p>
Husky,Assess,Tools,TRUE,<p>Tool for configuring Git hooks that run scripts to lint test build during commits push and more - <a href='https://typicode.github.io/husky/#/?id=usage'>Docs</a></p>
PM2,Hold,Tools,FALSE,<p>Production process manager for Nodejs applications enabling load balancing monitoring and cluster mode - <a href='https://pm2.keymetrics.io/docs/usage/pm2-doc-single-page/'>Docs</a></p>
