name,ring,quadrant,isNew,description,code
Apache Commons,Adopt,languages-and-frameworks,FALSE,,1
Apache CXF,Adopt,languages-and-frameworks,FALSE,,1
Apache PdfBox,Adopt,languages-and-frameworks,FALSE,,1
Apache POI,Adopt,languages-and-frameworks,FALSE,,1
Apache Tika,Adopt,languages-and-frameworks,FALSE,,1
ArchUnit,Adopt,languages-and-frameworks,FALSE,https://www.archunit.org/,1
AssertJ,Adopt,languages-and-frameworks,FALSE,,1
Barcode4J,Adopt,languages-and-frameworks,FALSE,https://github.com/metanorma/barcode4j,1
fastexcel,Adopt,languages-and-frameworks,FALSE,https://github.com/dhatim/fastexcel,1
Feign,Adopt,languages-and-frameworks,FALSE,https://github.com/OpenFeign/feign,1
Guava,Adopt,languages-and-frameworks,FALSE,,1
ICU4J,Adopt,languages-and-frameworks,FALSE,https://unicode-org.github.io/icu/userguide/icu4j/,1
ImageIO,Adopt,languages-and-frameworks,FALSE,https://github.com/haraldk/TwelveMonkeys,1
Jackson,Adopt,languages-and-frameworks,FALSE,,1
Jacoco,Adopt,languages-and-frameworks,FALSE,,1
Java Mail,Adopt,languages-and-frameworks,FALSE,https://docs.spring.io/spring-boot/docs/2.0.3.RELEASE/reference/html/boot-features-email.html,1
Google Jib,Adopt,languages-and-frameworks,FALSE,https://cloud.google.com/java/getting-started/jib,1
jsoup,Adopt,languages-and-frameworks,FALSE,https://jsoup.org/,1
JUnit 5,Adopt,languages-and-frameworks,FALSE,,1
JWT,Adopt,languages-and-frameworks,FALSE,,1
Jxls,Adopt,languages-and-frameworks,FALSE,https://github.com/jxlsteam/jxls,1
Liquibase,Adopt,languages-and-frameworks,FALSE,,1
Lombok,Adopt,languages-and-frameworks,FALSE,,1
Micrometer,Adopt,languages-and-frameworks,FALSE,,1
Mockito,Adopt,languages-and-frameworks,FALSE,https://github.com/mockito/mockito,1
OpenCSV,Adopt,languages-and-frameworks,FALSE,https://opencsv.sourceforge.net/,1
OpenTracing,Hold,languages-and-frameworks,FALSE,https://opentracing.io/,1
Shedlock,Adopt,languages-and-frameworks,FALSE,,1
SolrJ,Adopt,languages-and-frameworks,FALSE,https://solr.apache.org/guide/solr/latest/deployment-guide/solrj.html,1
Spring Boot 2,Hold,languages-and-frameworks,FALSE,,1
TestContainers,Adopt,languages-and-frameworks,FALSE,https://www.testcontainers.org/,1
thumbnailator,Adopt,languages-and-frameworks,FALSE,https://github.com/coobird/thumbnailator,1
WireMock,Adopt,languages-and-frameworks,FALSE,https://wiremock.org/,1
zxing,Adopt,languages-and-frameworks,FALSE,https://github.com/zxing/zxing,1
Springdoc,Adopt,languages-and-frameworks,TRUE,,1
java-faker,Assess,languages-and-frameworks,FALSE,https://github.com/DiUS/java-faker,3
Kotlin,Adopt,languages-and-frameworks,FALSE,,2
OpenPDF,Trial,languages-and-frameworks,FALSE,https://github.com/LibrePDF/OpenPDF,2
Pitest,Assess,languages-and-frameworks,FALSE,https://pitest.org/,3
EasyRandom,Hold,languages-and-frameworks,TRUE,,4
Java 17,Adopt,languages-and-frameworks,TRUE,,1
Jsonnet,Adopt,languages-and-frameworks,TRUE,,1
Java 19+,Assess,languages-and-frameworks,TRUE,,3
OpenTelemetry,Adopt,languages-and-frameworks,TRUE,https://opentelemetry.io/,3
Spring Boot 3,Adopt,languages-and-frameworks,TRUE,,3
Envers,Hold,languages-and-frameworks,FALSE,https://hibernate.org/orm/envers/,4
Hibernate,Hold,languages-and-frameworks,FALSE,,4
Javamelody,Hold,languages-and-frameworks,FALSE,,4
JavaScript,Hold,languages-and-frameworks,FALSE,,4
JUnit 4,Hold,languages-and-frameworks,FALSE,,4
MapStruct,Hold,languages-and-frameworks,FALSE,,4
Springfox,Hold,languages-and-frameworks,FALSE,,4
ELK,Adopt,Platforms,FALSE,,1
Gitlab & Gitlab CI,Adopt,Platforms,FALSE,,1
Helm 3,Hold,Platforms,FALSE,,1
Jenkins,Adopt,Platforms,FALSE,,1
Kubernetes,Adopt,Platforms,FALSE,,1
Logstash,Adopt,Platforms,FALSE,,1
Maven,Adopt,Platforms,FALSE,,1
Gradle,Trial,Platforms,FALSE,,1
PostgreSQL,Adopt,Platforms,FALSE,,1
Swagger/Open API,Adopt,Platforms,FALSE,,1
VictoriaMetrics,Adopt,Platforms,TRUE,"<p>Modern observability relies on collecting and aggregating an exhaustive set of granular metrics to fully understand, predict and analyze system behavior. But when applied to a cloud native system composed of many redundant and cooperating processes and hosts, the cardinality (or number of unique time series) becomes unwieldy because it grows exponentially with each additional service, container, node, cluster, etc. When dealing with high-cardinality data, we've found that <a href=""https://victoriametrics.com/""><strong>VictoriaMetrics</strong></a> performs well. VictoriaMetrics is particularly useful for operating <a href=""/radar/platforms/kubernetes"">Kubernetes</a>-hosted <a href=""/radar/techniques/microservices"">microservice</a> architectures, and the VictoriaMetrics operator makes it easy for teams to implement their own monitoring in a self-service way. We also like its componentized architecture and ability to continue collecting metrics even when the central server is unavailable. Although our team has been happy with VictoriaMetrics, this is a rapidly evolving area, and we'd recommend keeping an eye on other high-performance, <a href=""/radar/tools/prometheus"">Prometheus</a>-compatible time series databases such as <a href=""https://cortexmetrics.io/"">Cortex</a> or <a href=""https://thanos.io/"">Thanos</a>.</p>",1
Kafka,Trial,Platforms,FALSE,,2
Redis,Trial,Platforms,FALSE,,2
Argo CD,Adopt,Platforms,TRUE,,1
Temporal.io,Adopt,Platforms,TRUE,,2
